time(ns),x,y,z,qw,qx,qy,qz
1718164072199948032,-61.5566,267.65,14.2522,0.722476,-0.00527509,-0.00647018,-0.691346
1718164072299930112,-61.5412,267.18,14.2553,0.722361,-0.00557084,-0.00643483,-0.691463
1718164072399940096,-61.5262,266.711,14.2584,0.722365,-0.00580716,-0.00644139,-0.691458
1718164072499970048,-61.5116,266.243,14.2612,0.722379,-0.00601939,-0.00655975,-0.69144
1718164072600028928,-61.497,265.777,14.2646,0.722332,-0.00656575,-0.00688089,-0.691481
1718164072700110080,-61.4827,265.313,14.2676,0.722275,-0.00713497,-0.00754384,-0.691528
1718164072800207104,-61.4705,264.846,14.2704,0.72229,-0.00620997,-0.00769476,-0.691519
1718164072900305920,-61.4586,264.377,14.2718,0.722429,-0.00430086,-0.0068728,-0.691398
1718164073000410880,-61.4456,263.909,14.2724,0.722555,-0.00255359,-0.00574264,-0.691285
1718164073100529920,-61.4291,263.443,14.2737,0.722546,-0.00189452,-0.00409789,-0.691309
1718164073200663040,-61.4107,262.979,14.2781,0.722435,-0.00146338,-0.00234963,-0.691433
1718164073300762880,-61.3977,262.517,14.2806,0.722509,-0.000732295,-0.0020348,-0.691358
1718164073400857088,-61.3899,262.06,14.2775,0.722545,0.000133339,-0.003853,-0.691313
1718164073500930048,-61.3776,261.603,14.2721,0.722351,-0.000216152,-0.00467634,-0.691511
1718164073600971008,-61.3636,261.148,14.2676,0.722106,-0.000672976,-0.00526233,-0.691762
1718164073700983040,-61.3477,260.692,14.2651,0.722016,-0.00104937,-0.00445648,-0.691861
1718164073800974080,-61.3344,260.235,14.2641,0.721829,1.3767e-05,-0.00354492,-0.692062
1718164073900952064,-61.322,259.782,14.2617,0.721637,0.000276391,-0.00325589,-0.692263
1718164074000925952,-61.3108,259.333,14.2589,0.721318,0.00035249,-0.00379252,-0.692594
1718164074100883968,-61.2997,258.887,14.258,0.721143,0.000427156,-0.0040637,-0.692774
1718164074200843008,-61.2896,258.443,14.2577,0.720968,0.000653923,-0.00430332,-0.692955
1718164074300824064,-61.2795,258.003,14.2556,0.720527,0.00036628,-0.00485485,-0.69341
1718164074400804096,-61.271,257.567,14.2517,0.719997,-7.72474e-05,-0.00593327,-0.693952
1718164074500787968,-61.262,257.132,14.2484,0.719473,-0.000400837,-0.0061292,-0.694494
1718164074600783872,-61.2534,256.7,14.2464,0.718812,-0.000240877,-0.0059133,-0.69518
1718164074700777984,-61.2468,256.27,14.2459,0.718078,-1.31674e-05,-0.00574437,-0.695939
1718164074800770048,-61.241,255.843,14.2461,0.717166,0.000286818,-0.00536097,-0.696882
1718164074900755968,-61.2375,255.419,14.246,0.716289,0.000794336,-0.00541839,-0.697782
